Time, CA, CB,CA0, v0, P, I, D,
-0.05,0.0,0.0,0.04,0.05,0.0,0.0,0.0,
0.0,0.04,0.16,1.2,0.0,0.0,0.0,0.0,
0.05,0.0396,0.16040000000000001,1.2,0.0,0.0027124999999999836,5.997788833609694E-5,0.0,
0.1,0.03920400000000001,0.16079600000000002,1.2,0.0,0.00539787499999994,1.7933388612492924E-4,0.0,
0.15000000000000002,0.03881196000000001,0.16118804,1.2,0.0,0.008056396249999915,3.5747421227196995E-4,0.0,
0.2,0.03842384040000001,0.16157615960000002,1.2,0.0,0.010688332287499918,5.938110234936376E-4,0.0,
0.25,0.03803960199600002,0.161960398004,1.2,0.0,0.013293948964624885,8.877623549391851E-4,0.0,
0.3,0.03765920597604002,0.16234079402395998,1.2,0.0,0.015873509474978613,0.001238752061406374,0.0,
0.35,0.03728261391627962,0.16271738608372038,1.2,0.0,0.018427274380228828,0.0016462097591449882,0.0,
0.39999999999999997,0.03690978777711682,0.16309021222288317,1.2,0.0,0.02095550163642656,0.0021095707682423142,0.0,
0.44999999999999996,0.03654068989934565,0.16345931010065434,1.2,0.0,0.023458446620062332,0.002628276055584765,0.0,
0.49999999999999994,0.036175283000352186,0.1638247169996478,1.2,0.0,0.025936362153861744,0.003201772178389889,0.0,
0.5499999999999999,0.03581353017034867,0.1641864698296513,1.2,0.0,0.028389498532323094,0.0038295112283030586,0.0,
0.6,0.03545539486864518,0.16454460513135477,1.2,0.0,0.030818103546999893,0.0045109507760531945,0.0,
0.65,0.03510084091995872,0.1648991590800412,1.2,0.0,0.033222422511529924,0.005245553816661927,0.0,
0.7000000000000001,0.03474983251075913,0.16525016748924082,1.2,0.0,0.03560269828641465,0.00603278871520067,0.0,
0.7500000000000001,0.034402334185651536,0.16559766581434843,1.2,0.0027724778883360807,0.03795917130355053,0.006872129153090123,0.0,
0.8000000000000002,0.03421989053155334,0.1659409131859701,1.2,0.005577208886124869,0.03919636733290393,0.007738826053762405,0.0,
0.8500000000000002,0.03420278158552755,0.16628145540559502,1.2,0.008413870462271884,0.0393123873731413,0.008608088350570394,0.0,
0.9000000000000002,0.03435119710872309,0.16662084065384541,1.2,0.011282143310993555,0.038305944606471534,0.00945509652318447,0.0,
0.9500000000000003,0.03466523597986123,0.16696061776127785,1.2,0.01418171131956407,0.03617636851156604,0.010255016224932752,0.0,
1.0000000000000002,0.035144905680761916,0.16730233444749165,1.2,0.01711226153638499,0.03292360835233326,0.010983011987283957,0.0,
1.0500000000000003,0.03579012187525336,0.16764753553145467,1.2,0.020073484139373817,0.028548236033438177,0.011614260987470539,0.0,
1.1000000000000003,0.036600708082672795,0.16799776111604742,1.2,0.023065072404668874,0.023051448314375115,0.012123966865068662,0.0,
1.1500000000000004,0.037576395447026754,0.1683545447499133,1.2,0.026086722675647097,0.01643506837484983,0.01248737357319138,0.0,
1.2000000000000004,0.03871682260273646,0.16871941156978493,1.2,0.029138134332251632,0.008701546725193366,0.01267977924981257,0.0,
1.2500000000000004,0.04002153563774837,0.16909387642653134,1.2,0.03221900976062615,-1.460385434811414E-4,0.012676550094622274,0.0,
1.3000000000000005,0.04148998815464106,0.1694794419982414,1.2,0.03532905432305309,-0.010103982173659699,0.01245313423671935,0.0,
1.3500000000000005,0.04312154143020894,0.1698775968937224,1.2,0.03846797632819185,-0.02116795282360435,0.011985075578375418,0.0,
1.4000000000000006,0.044915464673849735,0.17028981374985014,1.2,0.04163548700161532,-0.03333299481954351,0.011248027600054942,0.0,
1.4500000000000006,0.04687093538492818,0.1707175473262571,1.2,0.04483130045664065,-0.04659353057904423,0.010217767111850537,0.0,
1.5000000000000007,0.048987039809131064,0.1711622326008893,1.2,0.04693519338666634,-0.06094336370567002,0.008870207936490227,0.0,
1.5500000000000007,0.05119832020489565,0.17162590792169313,1.2,0.04792047572371169,-0.0759386088894486,0.007191078939487494,0.0,
1.6000000000000008,0.053438893153245716,0.17211003517182571,1.2,0.047761041129656005,-0.0911324941954475,0.005175987857222209,0.0,
1.6500000000000008,0.055642551830801856,0.17261550470896203,1.2,0.04643138473649879,-0.10607605460262508,0.0028304697897235886,0.0,
1.7000000000000008,0.057742831360094934,0.17314264245963068,1.2,0.04390662033961722,-0.12031857516064377,1.7002589451864E-4,0.0,
1.7500000000000009,0.05967303563817791,0.17369121832259493,1.2,0.04016249702090872,-0.13340777292139397,-0.0027798419423281035,0.0,
1.800000000000001,0.06136622419724831,0.17426045500322201,1.2,0.03517541517944378,-0.14488970783759011,-0.005983594464994552,0.0,
1.850000000000001,0.0627551577453358,0.17484903637392518,1.2,0.028922441948041208,-0.15430841346055837,-0.009395610240794626,0.0,
1.900000000000001,0.06377220106442344,0.1754551144317531,1.2,0.021381325975005937,-0.16120523846812143,-0.012960126293157731,0.0,
1.950000000000001,0.06434918190132446,0.176076313900415,1.2,0.012530511551141132,-0.16511788976835653,-0.01661115757604013,0.0,
2.000000000000001,0.06441720436702364,0.1767097334975768,1.2,0.0023491520630596514,-0.16557916711387904,-0.020272388468552657,0.0,
2.0500000000000007,0.06390641515671022,0.1773519428560011,1.2,0.0,-0.1621153777814412,-0.02385702921551653,0.0,
2.1000000000000005,0.06326735100514314,0.1779910070075682,1.2,0.0,-0.1577817240036269,-0.02734584566667467,0.0,
2.1500000000000004,0.06263467749509172,0.17862368051761962,1.2,0.0,-0.15349140676359072,-0.030739796064985135,0.0,
2.2,0.06200833072014081,0.17925002729257056,1.2,0.0,-0.14924399269595484,-0.0340398290709764,0.0,
