Time, CA, CB,CAO, v0,
-0.05,0.0,0.0,0.0,0.05,
0.45,0.0,0.0,0.2,0.05,
0.95,0.005000000000000001,0.0,0.2,0.05,
1.45,0.009375000000000001,5.0E-4,0.2,0.05,
1.95,0.013203125000000003,0.0014250000000000003,0.2,0.05,
2.45,0.016552734375000003,0.0027096875000000007,0.2,0.05,
2.95,0.019483642578125,0.004297218750000001,0.2,0.05,
3.45,0.02204818725585938,0.006138152539062501,0.2,0.05,
3.95,0.02429216384887696,0.008189517451171878,0.2,0.05,
4.45,0.02625564336776734,0.010413995899780277,0.2,0.05,
4.95,0.027973687946796423,0.012779210339062503,0.2,0.05,
5.45,0.029476976953446872,0.015257098875265582,0.2,0.05,
5.95,0.03079235483426601,0.01782336909872863,0.2,0.05,
6.45,0.031943310479982764,0.02045702035468702,0.2,0.05,
6.95,0.03295039666998492,0.02313992589381812,0.2,0.05,
7.45,0.0338315970862368,0.025856467413471158,0.2,0.05,
7.95,0.0346026474504572,0.02859321543675806,0.2,0.05,
8.45,0.035277316519150045,0.031338649795884826,0.2,0.05,
8.95,0.035867651954256285,0.03408291520290271,0.2,0.05,
9.45,0.03638419545997425,0.03681760751825577,0.2,0.05,
9.95,0.036836171027477466,0.039535586876296804,0.2,0.05,
10.45,0.03723164964904278,0.042230814307137134,0.2,0.05,
10.95,0.03757769344291244,0.04489820891436299,0.2,0.05,
11.45,0.03788048176254838,0.04753352303579516,0.2,0.05,
11.95,0.03814542154222983,0.05013323313615512,0.2,0.05,
12.45,0.0383772438494511,0.05269444446197422,0.2,0.05,
12.95,0.038580088368269705,0.05521480773536997,0.2,0.05,
13.45,0.03875757732223599,0.05769244637881269,0.2,0.05,
13.95,0.038912880156956486,0.06012589295156597,0.2,0.05,
14.45,0.03904877013733693,0.06251403364347247,0.2,0.05,
14.95,0.03916767387016981,0.06485605981611936,0.2,0.05,
15.45,0.039271714636398586,0.06715142570773336,0.2,0.05,
15.95,0.03936275030684877,0.06939981152867988,0.2,0.05,
16.45,0.03944240651849268,0.07160109127114778,0.2,0.05,
16.95,0.03951210570368109,0.07375530464121835,0.2,0.05,
17.45,0.039573092490720954,0.075862632595556,0.2,0.05,
17.95,0.03962645592938084,0.0779233760297392,0.2,0.05,
18.45,0.03967314893820824,0.07993793722193379,0.2,0.05,
18.95,0.03971400532093221,0.08190680368520628,0.2,0.05,
19.45,0.03974975465581568,0.08383053412516933,0.2,0.05,
19.95,0.039781035323838726,0.08570974623762168,0.2,0.05,
20.45,0.03980840590835888,0.08754510611406502,0.2,0.05,
20.95,0.039832355169814024,0.08933731905204928,0.2,0.05,
21.45,0.03985331077358727,0.09108712159272944,0.2,0.05,
21.95,0.039871646926888854,0.09279527463026993,0.2,0.05,
22.45,0.03988769106102774,0.09446255745720206,0.2,0.05,
22.95,0.03990172967839928,0.09608976262687477,0.2,0.05,
23.45,0.039914013468599366,0.09767769152904282,0.2,0.05,
23.95,0.03992476178502445,0.0992271505876767,0.2,0.05,
24.45,0.0399341665618964,0.10073894800148722,0.2,0.05,
24.95,0.03994239574165935,0.10221389095763969,0.2,0.05,
25.45,0.039949596273951934,0.10365278325786464,0.2,0.05,
25.95,0.03995589673970794,0.10505642330381323,0.2,0.05,
26.45,0.03996140964724444,0.1064256023951887,0.2,0.05,
26.95,0.039966233441338886,0.10776110330003341,0.2,0.05,
27.45,0.03997045426117153,0.10906369906166646,0.2,0.05,
27.95,0.039974147478525096,0.11033415201124194,0.2,0.05,
28.45,0.03997737904370946,0.1115732129588134,0.2,0.05,
28.95,0.03998020666324578,0.112781620539214,0.2,0.05,
29.45,0.03998268083034005,0.11396010069205822,0.2,0.05,
29.95,0.03998484572654755,0.11510936625779078,0.2,0.05,
30.45,0.039986740010729105,0.11623011667400077,0.2,0.05,
30.95,0.03998839750938797,0.11732303775822367,0.2,0.05,
31.45,0.03998984782071448,0.11838880156520687,0.2,0.05,
31.95,0.039991116843125174,0.11942806630814815,0.2,0.05,
32.45,0.03999222723773453,0.12044147633475696,0.2,0.05,
32.95,0.03999319883301772,0.12142966215016149,0.2,0.05,
33.45,0.0399940489788905,0.12239324047970923,0.2,0.05,
33.95,0.03999479285652918,0.12333281436560556,0.2,0.05,
34.45,0.03999544374946304,0.12424897329211834,0.2,0.05,
34.95,0.03999601328078016,0.12514229333476168,0.2,0.05,
35.45,0.03999651162068264,0.12601333732947068,0.2,0.05,
35.95,0.03999694766809732,0.1268626550583022,0.2,0.05,
36.45,0.03999732920958515,0.12769078344865437,0.2,0.05,
36.95,0.039997663058387006,0.1284982467833965,0.2,0.05,
37.45,0.03999795517608863,0.12928555691965027,0.2,0.05,
37.95,0.03999821077907756,0.13005321351426785,0.2,0.05,
38.45,0.03999843443169286,0.13080170425431892,0.2,0.05,
38.95,0.03999863012773125,0.1315315050911302,0.2,0.05,
39.45,0.03999880136176484,0.13224308047662509,0.2,0.05,
39.95,0.03999895119154423,0.13293688360088596,0.2,0.05,
40.45,0.0399990822926012,0.13361335663001822,0.2,0.05,
40.95,0.039999197006026055,0.13427293094352788,0.2,0.05,
41.45,0.0399992973802728,0.1349160273705423,0.2,0.05,
41.95,0.0399993852077387,0.13554305642430603,0.2,0.05,
42.45,0.039999462056771365,0.13615441853447224,0.2,0.05,
42.95,0.039999529299674944,0.1367505042767876,0.2,0.05,
43.45,0.039999588137215575,0.1373316945998354,0.2,0.05,
43.95,0.03999963962006363,0.13789836104856107,0.2,0.05,
44.45,0.03999968466755567,0.1384508659843534,0.2,0.05,
44.95,0.03999972408411122,0.13898956280150015,0.2,0.05,
45.45,0.03999975857359732,0.13951479613987378,0.2,0.05,
45.95,0.03999978875189765,0.14002690209373664,0.2,0.05,
46.45,0.03999981515791044,0.14052620841658298,0.2,0.05,
46.95,0.03999983826317163,0.14101303472195942,0.2,0.05,
47.45,0.03999985848027518,0.1414876926802276,0.2,0.05,
47.95,0.03999987617024078,0.14195048621124945,0.2,0.05,
48.45,0.039999891648960686,0.14240171167299231,0.2,0.05,
48.95,0.03999990519284061,0.14284165804606358,0.2,0.05,
49.45,0.039999917043735525,0.14327060711419604,0.2,0.05,
49.95,0.03999992741326859,0.14368883364071466,0.2,0.05,
50.45,0.039999936486610016,0.14409660554102366,0.2,0.05,
50.95,0.039999944425783765,0.14449418405115905,0.2,0.05,
51.45,0.039999951372560794,0.14488182389245846,0.2,0.05,
51.95,0.03999995745099069,0.1452597734324031,0.2,0.05,
52.45,0.039999962769616856,0.1456282748416921,0.2,0.05,
52.95,0.039999967423414745,0.1459875642476115,0.2,0.05,
53.45,0.039999971495487896,0.14633787188376268,0.2,0.05,
